Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2   SEN3 TCPU_P iwlwif acpitz INT340
13:03:15   4.2   0.0   0.0  95.8   0.0    2    554    686    0    0    0  49.29    0.00  14.95  10.27  24.06  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:16   4.2   0.0   0.0  95.8   0.0    2    608    716    0    0    0  49.28    0.00  14.94  10.27  24.07  66.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:17   4.2   0.0   0.0  95.8   0.0    2    508    682    0    0    0  49.31    0.00  14.96  10.29  24.05  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:18   4.2   0.0   0.0  95.8   0.0    2    625    747    0    0    0  49.57    0.00  15.02  10.31  24.24  68.05  68.00  40.05  40.05  68.00  33.00  67.00  20.00
13:03:19   4.2   0.0   0.0  95.8   0.0    2    566    704    0    0    0  50.08    0.00  15.08  10.25  24.75  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:20   4.2   0.0   0.0  95.8   0.0    2    586    694    0    0    0  49.26    0.00  14.94  10.26  24.06  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:21   4.2   0.0   0.0  95.7   0.0    2    542    651    0    0    0  50.29    0.00  15.12  10.25  24.92  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:22   4.2   0.0   0.0  95.8   0.0    2    765    850    0    0    0  52.06    0.00  15.29  10.53  26.24  66.05  66.00  40.05  40.05  66.00  33.00  68.00  20.00
13:03:23   4.2   0.0   0.0  95.8   0.0    2    573    720    0    0    0  51.33    0.00  15.06  10.31  25.96  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:24   4.2   0.0   0.0  95.8   0.0    2    619    706    0    0    0  52.22    0.00  15.20  10.26  26.77  68.05  68.00  40.05  40.05  68.00  33.00  68.00  20.00
13:03:25   4.2   0.0   0.0  95.8   0.0    2    522    693    0    0    0  50.31    0.00  15.02  10.31  24.98  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:26   4.2   0.0   0.0  95.8   0.0    2    635    732    0    0    0  49.47    0.00  14.98  10.28  24.20  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:27   4.2   0.0   0.0  95.8   0.0    2    550    696    0    0    0  49.38    0.00  15.00  10.30  24.08  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:28   4.2   0.0   0.0  95.8   0.0    2    600    718    0    0    0  49.43    0.00  15.00  10.30  24.12  68.05  68.00  40.05  40.05  68.00  33.00  67.00  20.00
13:03:29   4.2   0.0   0.0  95.8   0.0    2    534    691    0    0    0  49.34    0.00  14.97  10.28  24.10  65.05  65.00  40.05  40.05  65.00  33.00  67.00  20.00
13:03:30   4.2   0.0   0.0  95.8   0.0    2    615    747    0    0    0  49.38    0.00  14.98  10.28  24.12  66.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:31   4.2   0.0   0.0  95.8   0.0    2    578    702    0    0    0  49.39    0.00  14.99  10.29  24.10  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:32   4.2   0.0   0.0  95.8   0.0    2    584    708    0    0    0  49.39    0.00  14.99  10.29  24.11  68.05  68.00  40.05  40.05  68.00  33.00  67.00  20.00
13:03:33   4.2   0.0   0.0  95.8   0.0    2    522    686    0    0    0  49.34    0.00  14.98  10.29  24.07  66.05  66.00  40.05  40.05  66.00  33.00  68.00  20.00
13:03:34   4.2   0.0   0.0  95.8   0.0    2    624    727    0    0    0  50.47    0.00  15.21  10.32  24.94  65.05  65.00  40.05  40.05  65.00  33.00  68.00  20.00
13:03:35   4.2   0.0   0.0  95.8   0.0    2    573    688    0    0    0  49.55    0.00  15.05  10.32  24.18  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:36   4.2   0.0   0.0  95.8   0.0    2    636    698    0    0    0  50.61    0.00  15.24  10.35  25.01  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:37   4.2   0.0   0.0  95.8   0.0    2    520    681    0    0    0  49.44    0.00  15.01  10.34  24.09  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:38   4.2   0.0   0.0  95.8   0.0    2    646    762    0    0    0  49.31    0.00  14.94  10.26  24.11  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:39   4.2   0.0   0.0  95.8   0.0    2    570    694    0    0    0  49.35    0.00  14.98  10.29  24.08  68.05  68.00  40.05  40.05  68.00  33.00  68.00  20.00
13:03:40   4.2   0.0   0.0  95.8   0.0    2    580    700    0    0    0  49.31    0.00  14.96  10.27  24.08  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:41   4.2   0.0   0.0  95.8   0.0    2    534    579    0    0    0  49.32    0.00  14.98  10.30  24.05  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:42   4.2   0.0   0.0  95.8   0.0    2    607    640    0    0    0  49.43    0.00  15.01  10.33  24.09  68.05  68.00  40.05  40.05  68.00  33.00  68.00  20.00
13:03:43   4.2   0.0   0.0  95.8   0.0    2    576    612    0    0    0  49.35    0.00  14.98  10.30  24.08  66.05  66.00  40.05  40.05  66.00  33.00  68.00  20.00
13:03:44   4.2   0.0   0.0  95.8   0.0    2    596    617    0    0    0  49.41    0.00  15.00  10.31  24.10  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:45   4.2   0.0   0.0  95.8   0.0    2    510    582    0    0    0  49.39    0.00  15.00  10.32  24.06  68.05  68.00  40.05  40.05  68.00  33.00  68.00  20.00
13:03:46   4.2   0.0   0.0  95.7   0.0    2    812    813    0    0    0  53.15    0.00  15.56  10.60  26.99  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:47   4.2   0.0   0.0  95.8   0.0    2    558    615    0    0    0  51.33    0.00  15.06  10.31  25.95  68.05  68.00  40.05  40.05  68.00  33.00  68.00  20.00
13:03:48   4.2   0.0   0.0  95.8   0.0    2    606    634    0    0    0  51.28    0.00  15.03  10.29  25.97  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:49   4.2   0.0   0.0  95.8   0.0    2    548    542    0    0    0  51.38    0.00  15.21  10.29  25.88  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:50   4.2   0.0   0.0  95.8   0.0    2    596    587    0    0    0  49.53    0.00  15.02  10.32  24.19  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:51   4.2   0.0   0.0  95.8   0.0    2    582    621    0    0    0  49.50    0.00  15.04  10.34  24.11  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:52   4.2   0.0   0.0  95.8   0.0    2    580    564    0    0    0  49.35    0.00  15.01  10.31  24.04  65.05  65.00  40.05  40.05  65.00  33.00  67.00  20.00
13:03:53   4.2   0.0   0.0  95.8   0.0    2    522    578    0    0    0  49.46    0.00  15.02  10.32  24.11  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
