          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                       new;             pgo;                 10;       103.820;  Power (Watt)
      native-image;                       new;             pgo;                 11;       103.480;  Power (Watt)
      native-image;                       new;             pgo;                 12;       100.540;  Power (Watt)
      native-image;                       new;             pgo;                 13;       102.960;  Power (Watt)
      native-image;                       new;             pgo;                 14;        91.400;  Power (Watt)
      native-image;                       new;             pgo;                 15;       107.100;  Power (Watt)
      native-image;                       new;             pgo;                 16;       102.730;  Power (Watt)
      native-image;                       new;             pgo;                 17;        94.210;  Power (Watt)
      native-image;                       new;             pgo;                 18;       109.650;  Power (Watt)
      native-image;                       new;             pgo;                 19;       101.480;  Power (Watt)
      native-image;                       new;             pgo;                 20;       100.540;  Power (Watt)
      native-image;                       new;             pgo;                 21;       101.400;  Power (Watt)
      native-image;                       new;             pgo;                 22;       100.450;  Power (Watt)
      native-image;                       new;             pgo;                 23;       101.540;  Power (Watt)
      native-image;                       new;             pgo;                 24;       101.560;  Power (Watt)
      native-image;                       new;             pgo;                 25;       100.240;  Power (Watt)
      native-image;                       new;             pgo;                 26;        94.080;  Power (Watt)
      native-image;                       new;             pgo;                 27;       104.440;  Power (Watt)
      native-image;                       new;             pgo;                 28;        88.040;  Power (Watt)
      native-image;                       new;             pgo;                 29;         4.520;  Power (Watt)
      native-image;                       new;             pgo;                 30;         2.040;  Power (Watt)
      native-image;                       new;             pgo;                 31;         3.660;  Power (Watt)
      native-image;                       new;             pgo;                 32;        80.210;  Power (Watt)
      native-image;                       new;             pgo;                 33;        93.970;  Power (Watt)
      native-image;                       new;             pgo;                 34;        99.590;  Power (Watt)
      native-image;                       new;             pgo;                 35;        95.230;  Power (Watt)
      native-image;                       new;             pgo;                 36;        97.190;  Power (Watt)
      native-image;                       new;             pgo;                 37;        94.140;  Power (Watt)
      native-image;                       new;             pgo;                 38;       110.930;  Power (Watt)
      native-image;                       new;             pgo;                 39;       102.300;  Power (Watt)
      native-image;                       new;             pgo;                 40;       101.120;  Power (Watt)
      native-image;                       new;             pgo;                 41;       102.300;  Power (Watt)
      native-image;                       new;             pgo;                 42;       101.510;  Power (Watt)
      native-image;                       new;             pgo;                 43;        97.480;  Power (Watt)
      native-image;                       new;             pgo;                 44;       108.140;  Power (Watt)
      native-image;                       new;             pgo;                 45;       100.770;  Power (Watt)
      native-image;                       new;             pgo;                 46;       102.010;  Power (Watt)
      native-image;                       new;             pgo;                 47;       101.220;  Power (Watt)
      native-image;                       new;             pgo;                 48;       102.890;  Power (Watt)
      native-image;                       new;             pgo;                 49;       101.170;  Power (Watt)
      native-image;                       new;             pgo;                 50;        95.550;  Power (Watt)
      native-image;                       new;             pgo;                 51;       107.170;  Power (Watt)
      native-image;                       new;             pgo;                 52;       101.020;  Power (Watt)
      native-image;                       new;             pgo;                 53;       101.470;  Power (Watt)
      native-image;                       new;             pgo;                 54;       100.960;  Power (Watt)
      native-image;                       new;             pgo;                 55;        99.350;  Power (Watt)
      native-image;                       new;             pgo;                 56;       102.720;  Power (Watt)
      native-image;                       new;             pgo;                 57;       101.890;  Power (Watt)
      native-image;                       new;             pgo;                 58;       100.730;  Power (Watt)
      native-image;                       new;             pgo;                 59;       101.150;  Power (Watt)
      native-image;                       new;             pgo;                 60;       101.350;  Power (Watt)
      native-image;                       new;             pgo;                 61;       101.790;  Power (Watt)
      native-image;                       new;             pgo;                 62;       103.250;  Power (Watt)
      native-image;                       new;             pgo;                 63;       103.250;  Power (Watt)
      native-image;                       new;             pgo;                 64;       105.610;  Power (Watt)
      native-image;                       new;             pgo;                 65;        97.190;  Power (Watt)
      native-image;                       new;             pgo;                 66;       104.180;  Power (Watt)
      native-image;                       new;             pgo;                 67;       106.970;  Power (Watt)
      native-image;                       new;             pgo;                 68;       107.450;  Power (Watt)
      native-image;                       new;             pgo;                 69;        95.700;  Power (Watt)
      native-image;                       new;             pgo;                 70;        81.920;  Power (Watt)
      native-image;                       new;             pgo;                 71;        56.410;  Power (Watt)
      native-image;                       new;             pgo;                 72;        66.470;  Power (Watt)
      native-image;                       new;             pgo;                 73;        47.930;  Power (Watt)
      native-image;                       new;             pgo;                 74;        38.760;  Power (Watt)
      native-image;                       new;             pgo;                 75;        33.650;  Power (Watt)
      native-image;                       new;             pgo;                 76;        42.950;  Power (Watt)
      native-image;                       new;             pgo;                 77;        42.710;  Power (Watt)
      native-image;                       new;             pgo;                 78;        42.870;  Power (Watt)
      native-image;                       new;             pgo;                 79;        71.430;  Power (Watt)
      native-image;                       new;             pgo;                 80;        33.650;  Power (Watt)
      native-image;                       new;             pgo;                 81;        33.120;  Power (Watt)
      native-image;                       new;             pgo;                 82;        34.500;  Power (Watt)
      native-image;                       new;             pgo;                 83;        43.890;  Power (Watt)
    oracle-graalvm;                     const;         default;                  1;         4.550;  Power (Watt)
    oracle-graalvm;                     const;         default;                  2;         1.680;  Power (Watt)
    oracle-graalvm;                     const;         default;                  3;         2.920;  Power (Watt)
    oracle-graalvm;                     const;         default;                  4;        95.330;  Power (Watt)
    oracle-graalvm;                     const;         default;                  5;        84.870;  Power (Watt)
      native-image;             override_fist;             pgo;                  1;         4.580;  Power (Watt)
      native-image;             override_fist;             pgo;                  2;         2.090;  Power (Watt)
      native-image;             override_fist;             pgo;                  3;         6.730;  Power (Watt)
      native-image;             override_fist;             pgo;                  4;       100.130;  Power (Watt)
      native-image;             override_fist;             pgo;                  5;       106.390;  Power (Watt)
      native-image;             override_fist;             pgo;                  6;        81.910;  Power (Watt)
      native-image;             override_fist;             pgo;                  7;       111.220;  Power (Watt)
      native-image;             override_fist;             pgo;                  8;        88.430;  Power (Watt)
      native-image;             override_fist;             pgo;                  9;       110.750;  Power (Watt)
      native-image;             override_fist;             pgo;                 10;       101.400;  Power (Watt)
      native-image;             override_fist;             pgo;                 11;       102.840;  Power (Watt)
      native-image;             override_fist;             pgo;                 12;       101.700;  Power (Watt)
      native-image;             override_fist;             pgo;                 13;       101.770;  Power (Watt)
      native-image;             override_fist;             pgo;                 14;       100.290;  Power (Watt)
      native-image;             override_fist;             pgo;                 15;       107.250;  Power (Watt)
      native-image;             override_fist;             pgo;                 16;       102.990;  Power (Watt)
      native-image;             override_fist;             pgo;                 17;        96.740;  Power (Watt)
      native-image;             override_fist;             pgo;                 18;       101.140;  Power (Watt)
      native-image;             override_fist;             pgo;                 19;       107.250;  Power (Watt)
